CustomerID,FirstName,LastName,Email,Phone,Address
21, John, Smith, john.smith@example.com, 555-1111, 123 Main St
22, Jane, Doe, jane.doe@example.com, 555-2222, 456 Elm St
23, Michael, Johnson, michael.johnson@example.com, 555-3333, 789 Maple Ave
24, Emily, Davis, emily.davis@example.com, 555-4444, 101 Oak St
25, David, Brown, david.brown@example.com, 555-5555, 202 Pine Rd
26, Sarah, Wilson, sarah.wilson@example.com, 555-6666, 303 Cedar Ln
27, James, Taylor, james.taylor@example.com, 555-7777, 404 Birch Blvd
28, Mary, Anderson, mary.anderson@example.com, 555-8888, 505 Walnut Dr
29, Robert, Thomas, robert.thomas@example.com, 555-9999, 606 Spruce St
30, Linda, Jackson, linda.jackson@example.com, 555-0001, 707 Fir Ct
31, Patricia, White, patricia.white@example.com, 555-0002, 808 Maple Ave
32, Jennifer, Harris, jennifer.harris@example.com, 555-0003, 909 Pine St
33, Charles, Martin, charles.martin@example.com, 555-0004, 1010 Cedar Ln
34, Joseph, Thompson, joseph.thompson@example.com, 555-0005, 1111 Birch Rd
35, Barbara, Garcia, barbara.garcia@example.com, 555-0006, 1212 Oak St
36, Susan, Martinez, susan.martinez@example.com, 555-0007, 1313 Walnut Dr
37, Thomas, Robinson, thomas.robinson@example.com, 555-0008, 1414 Spruce St
38, Lisa, Clark, lisa.clark@example.com, 555-0009, 1515 Fir Ct
39, Daniel, Rodriguez, daniel.rodriguez@example.com, 555-0010, 1616 Maple Ave
40, Karen, Lewis, karen.lewis@example.com, 555-0011, 1717 Pine St
41, Nancy, Lee, nancy.lee@example.com, 555-0012, 1818 Cedar Ln
42, Steven, Walker, steven.walker@example.com, 555-0013, 1919 Birch Blvd
43, Sarah, Hall, sarah.hall@example.com, 555-0014, 2020 Oak St
44, Edward, Allen, edward.allen@example.com, 555-0015, 2121 Walnut Dr
45, Angela, Young, angela.young@example.com, 555-0016, 2222 Spruce St
46, Joshua, King, joshua.king@example.com, 555-0017, 2323 Fir Ct
47, Michelle, Wright, michelle.wright@example.com, 555-0018, 2424 Maple Ave
48, Kevin, Scott, kevin.scott@example.com, 555-0019, 2525 Pine St
49, Emily, Green, emily.green@example.com, 555-0020, 2626 Cedar Ln
50, Jason, Adams, jason.adams@example.com, 555-0021, 2727 Birch Blvd
51, Elizabeth, Baker, elizabeth.baker@example.com, 555-0022, 2828 Oak St
52, Brian, Gonzalez, brian.gonzalez@example.com, 555-0023, 2929 Walnut Dr
53, Laura, Nelson, laura.nelson@example.com, 555-0024, 3030 Spruce St
54, Gary, Carter, gary.carter@example.com, 555-0025, 3131 Fir Ct
55, Kimberly, Mitchell, kimberly.mitchell@example.com, 555-0026, 3232 Maple Ave
56, Mark, Perez, mark.perez@example.com, 555-0027, 3333 Pine St
57, Ashley, Roberts, ashley.roberts@example.com, 555-0028, 3434 Cedar Ln
58, Steven, Turner, steven.turner@example.com, 555-0029, 3535 Birch Blvd
59, Ryan, Phillips, ryan.phillips@example.com, 555-0030, 3636 Oak St
60, Jessica, Campbell, jessica.campbell@example.com, 555-0031, 3737 Walnut Dr
61, Jonathan, Parker, jonathan.parker@example.com, 555-0032, 3838 Spruce St
62, Jennifer, Evans, jennifer.evans@example.com, 555-0033, 3939 Fir Ct
63, Sarah, Edwards, sarah.edwards@example.com, 555-0034, 4040 Maple Ave
64, Christopher, Collins, christopher.collins@example.com, 555-0035, 4141 Pine St
65, Susan, Stewart, susan.stewart@example.com, 555-0036, 4242 Cedar Ln
66, Timothy, Sanchez, timothy.sanchez@example.com, 555-0037, 4343 Birch Blvd
67, Michelle, Morris, michelle.morris@example.com, 555-0038, 4444 Oak St
68, Anthony, Rogers, anthony.rogers@example.com, 555-0039, 4545 Walnut Dr
69, Melissa, Reed, melissa.reed@example.com, 555-0040, 4646 Spruce St
70, Charles, Cook, charles.cook@example.com, 555-0041, 4747 Fir Ct
71, Stephanie, Morgan, stephanie.morgan@example.com, 555-0042, 4848 Maple Ave
72, Kenneth, Bell, kenneth.bell@example.com, 555-0043, 4949 Pine St
73, Nancy, Murphy, nancy.murphy@example.com, 555-0044, 5050 Cedar Ln
